epoch,accuracy,loss,val_accuracy,val_loss
0,0.586850643157959,0.7088280916213989,0.648676872253418,0.6006685495376587
1,0.7345778942108154,0.5598001480102539,0.7057799696922302,0.5659552216529846
2,0.7808441519737244,0.48631569743156433,0.8043175339698792,0.4182472825050354
3,0.7962662577629089,0.44791358709335327,0.8339136242866516,0.35191452503204346
4,0.8303571343421936,0.3846534490585327,0.8349581956863403,0.3617982268333435
5,0.8384740352630615,0.36340516805648804,0.8339136242866516,0.36950066685676575
6,0.8660714030265808,0.33976173400878906,0.8729108572006226,0.2971946895122528
7,0.8603895902633667,0.3148532211780548,0.8332172632217407,0.36193740367889404
8,0.8579545617103577,0.32276856899261475,0.8575905561447144,0.34210270643234253
9,0.8685064911842346,0.3201977014541626,0.8746517896652222,0.3005077540874481
10,0.875,0.28324586153030396,0.8635097742080688,0.3024083375930786
11,0.8693181872367859,0.2925153076648712,0.8763927817344666,0.27561986446380615
12,0.8952922224998474,0.25281190872192383,0.8833565711975098,0.3086133301258087
13,0.8920454382896423,0.25503209233283997,0.8708217144012451,0.3277953267097473
14,0.8871753215789795,0.26702165603637695,0.8861420750617981,0.2854330539703369
15,0.8936688303947449,0.2844657897949219,0.9011142253875732,0.2829539179801941
16,0.8985389471054077,0.23294466733932495,0.8924094438552856,0.2574474513530731
17,0.9188311696052551,0.19508039951324463,0.9011142253875732,0.2713938355445862
18,0.9058441519737244,0.24191239476203918,0.8938022255897522,0.2767723798751831
19,0.913149356842041,0.21702095866203308,0.8899721503257751,0.2858116924762726
20,0.9147727489471436,0.20229505002498627,0.8850975036621094,0.2760564088821411
21,0.9196428656578064,0.19741415977478027,0.910515308380127,0.26852738857269287
