epoch,accuracy,loss,val_accuracy,val_loss
0,0.7553606033325195,0.7724648118019104,0.9083820581436157,0.28059685230255127
1,0.9132553339004517,0.25955140590667725,0.955165684223175,0.16192658245563507
2,0.9463937878608704,0.16888327896595,0.9639376401901245,0.1294485479593277
3,0.9585769772529602,0.12890945374965668,0.9707602262496948,0.11048398166894913
4,0.9615010023117065,0.12191665172576904,0.9697855710983276,0.09870419651269913
5,0.9668616056442261,0.11408334225416183,0.97417151927948,0.0928974375128746
6,0.9702728986740112,0.09520671516656876,0.9766082167625427,0.08438590914011002
7,0.9736841917037964,0.09362374246120453,0.97417151927948,0.0800267830491066
8,0.9731968641281128,0.08598863333463669,0.9761208295822144,0.07922443747520447
9,0.9673489332199097,0.1051516905426979,0.9736841917037964,0.0841466411948204
10,0.9756335020065308,0.07717348635196686,0.9731968641281128,0.07879027724266052
11,0.97417151927948,0.07775833457708359,0.9702728986740112,0.08627351373434067
12,0.9736841917037964,0.08022226393222809,0.9746588468551636,0.07669135928153992
13,0.9722222089767456,0.07565981894731522,0.9761208295822144,0.07311700284481049
14,0.9785575270652771,0.06250284612178802,0.9766082167625427,0.0734679326415062
15,0.9790448546409607,0.07121267169713974,0.9814814925193787,0.07254548370838165
16,0.9795321822166443,0.07341518998146057,0.9761208295822144,0.07310029119253159
17,0.9722222089767456,0.08491034805774689,0.983430802822113,0.06647989898920059
18,0.983430802822113,0.05943717435002327,0.9824561476707458,0.06679308414459229
19,0.9824561476707458,0.06798924505710602,0.9761208295822144,0.07116582989692688
20,0.9800195097923279,0.06056639924645424,0.9814814925193787,0.0642416849732399
21,0.9766082167625427,0.06318099051713943,0.9770955443382263,0.0683426782488823
22,0.9844054579734802,0.056312769651412964,0.9770955443382263,0.07249095290899277
23,0.9863547682762146,0.04916499927639961,0.9814814925193787,0.06907294690608978
24,0.9795321822166443,0.060459453612565994,0.9844054579734802,0.07093007117509842
25,0.9829434752464294,0.060552388429641724,0.9800195097923279,0.06752986460924149
