Model,Train_Size,Test_Size,Accuracy,Precision,Recall,F1_Score,AUC
CustomCNN,10%,90%,0.8421337665854319,0.8451495788511174,0.8421337665854319,0.8429782358337319,0.9146986530331335
CustomCNN,20%,80%,0.9131891562595187,0.9130458413307011,0.9131891562595187,0.9128064288299631,0.9653980793241461
CustomCNN,30%,70%,0.916782729805014,0.9168309943799013,0.916782729805014,0.9162756228889672,0.9705374336529216
CustomCNN,40%,60%,0.9293257514216084,0.9295357455781408,0.9293257514216084,0.9294077252287333,0.9751067292579311
CustomCNN,50%,50%,0.9307992202729045,0.932313405268464,0.9307992202729045,0.9311162093766896,0.9716925029934365
CustomCNN,60%,40%,0.9159049360146252,0.9163577805816536,0.9159049360146252,0.9152202367464516,0.9717743194305696
CustomCNN,70%,30%,0.9520714865962632,0.9520009230210816,0.9520714865962632,0.9520195259721705,0.9838235624690914
CustomCNN,80%,20%,0.9317073170731708,0.9320428396183525,0.9317073170731708,0.9312850551279589,0.9775000623612462
CustomCNN,90%,10%,0.9560975609756097,0.9560867538888627,0.9560975609756097,0.9559963551225379,0.9864426650702187
MobileNetV2,10%,90%,0.9788789601949635,0.9789786244781946,0.9788789601949635,0.9788306785785856,0.9978452831579983
MobileNetV2,20%,80%,0.9826378312519037,0.9826316580509816,0.9826378312519037,0.9826269992777336,0.9983749324185034
MobileNetV2,30%,70%,0.9878133704735376,0.9878096699647119,0.9878133704735376,0.9878083697921116,0.9988853945881698
MobileNetV2,40%,60%,0.987408610885459,0.9874041857483838,0.987408610885459,0.9874048501994961,0.9987168093789315
MobileNetV2,50%,50%,0.9878167641325536,0.9878200807319095,0.9878167641325536,0.9878181756353949,0.9982289668539484
MobileNetV2,60%,40%,0.9884216940889702,0.9884191928902364,0.9884216940889702,0.9884200580181586,0.9981893106893107
MobileNetV2,70%,30%,0.9886271324126726,0.9886271324126726,0.9886271324126726,0.9886271324126726,0.9986428314525918
MobileNetV2,80%,20%,0.9865853658536585,0.9865810338098886,0.9865853658536585,0.986581662066958,0.9978485370051635
MobileNetV2,90%,10%,0.9951219512195122,0.9951219512195122,0.9951219512195122,0.9951219512195122,0.9997256105166005
VGG16,10%,90%,0.9786081776333604,0.9786024483186397,0.9786081776333604,0.978588374421977,0.9960097950054075
VGG16,20%,80%,0.9786780383795309,0.9786859303640493,0.9786780383795309,0.9786510633621682,0.9964153607393319
VGG16,30%,70%,0.9787604456824512,0.9788893647128342,0.9787604456824512,0.9787039789331108,0.9957109371612506
VGG16,40%,60%,0.9825345247766044,0.982590687993079,0.9825345247766044,0.9825004515381364,0.9962995877201236
VGG16,50%,50%,0.9814814814814815,0.9814993820572087,0.9814814814814815,0.9814549316874545,0.9970416037611178
VGG16,60%,40%,0.9829372333942717,0.9829355210340555,0.9829372333942717,0.982922546376227,0.9969811438561439
VGG16,70%,30%,0.9853777416734363,0.985370735798301,0.9853777416734363,0.9853714705971369,0.9962038618891336
VGG16,80%,20%,0.9829268292682927,0.9831367291565102,0.9829268292682927,0.9828770395247962,0.9979108982513907
VGG16,90%,10%,0.9804878048780488,0.9810951883837904,0.9804878048780488,0.9803934884846194,0.997355883159969
