epoch,accuracy,loss,val_accuracy,val_loss
0,0.885477602481842,0.26393401622772217,0.9727095365524292,0.08854033797979355
1,0.9712475538253784,0.09164199978113174,0.9756335020065308,0.06746938079595566
2,0.9736841917037964,0.06933394819498062,0.9775828719139099,0.06402595341205597
3,0.9795321822166443,0.057779066264629364,0.9805068373680115,0.05584141984581947
4,0.9805068373680115,0.056688375771045685,0.9775828719139099,0.06523261219263077
5,0.9844054579734802,0.0442010872066021,0.9824561476707458,0.054488182067871094
6,0.9805068373680115,0.05090304836630821,0.983430802822113,0.055689211934804916
7,0.9863547682762146,0.04066029191017151,0.985867440700531,0.049011196941137314
8,0.9873294234275818,0.03767108917236328,0.9868420958518982,0.04605593904852867
9,0.9887914061546326,0.029994143173098564,0.9848927855491638,0.05135863646864891
10,0.9887914061546326,0.03562198206782341,0.9848927855491638,0.05061502009630203
11,0.9892787337303162,0.03257334232330322,0.9839181303977966,0.04978469759225845
12,0.988304078578949,0.0322294756770134,0.9873294234275818,0.04505174234509468
13,0.9902533888816833,0.029391415417194366,0.985867440700531,0.04713848605751991
14,0.9931774139404297,0.02715267986059189,0.9853801131248474,0.05323830619454384
15,0.9887914061546326,0.0321427658200264,0.9848927855491638,0.045544322580099106
16,0.9912280440330505,0.027692442759871483,0.9853801131248474,0.04585971310734749
17,0.9887914061546326,0.02967357262969017,0.9878167510032654,0.04244672879576683
18,0.9917153716087341,0.022005725651979446,0.9878167510032654,0.04495092108845711
19,0.9926900863647461,0.020890742540359497,0.9863547682762146,0.04621678963303566
20,0.9887914061546326,0.02928236499428749,0.985867440700531,0.04925508052110672
21,0.9917153716087341,0.022218195721507072,0.9873294234275818,0.04833266884088516
22,0.9897660613059998,0.025774938985705376,0.9853801131248474,0.04895809665322304
