epoch,accuracy,loss,val_accuracy,val_loss
0,0.6090133786201477,0.7109827995300293,0.6634175777435303,0.5906956195831299
1,0.7381242513656616,0.5449420213699341,0.7685044407844543,0.4696637988090515
2,0.7941534519195557,0.48996108770370483,0.8141943216323853,0.3918512165546417
3,0.7515225410461426,0.512183666229248,0.7459640502929688,0.5170605778694153
4,0.800243616104126,0.44626694917678833,0.8184587359428406,0.395596981048584
5,0.8038976788520813,0.40913087129592896,0.8236368894577026,0.39098671078681946
6,0.8465286493301392,0.3611680269241333,0.8507462739944458,0.3537071943283081
7,0.8465286493301392,0.3563707172870636,0.8763326406478882,0.3181827962398529
8,0.8477466702461243,0.35165780782699585,0.8431313037872314,0.35734444856643677
9,0.8733252286911011,0.31573420763015747,0.8674992322921753,0.3188720941543579
10,0.8733252286911011,0.3011593520641327,0.8592750430107117,0.31489065289497375
11,0.8891595602035522,0.276897132396698,0.8809016346931458,0.3095082640647888
12,0.8806333541870117,0.279651939868927,0.827901303768158,0.4577854871749878
13,0.8647990226745605,0.3232913017272949,0.897045373916626,0.3036269545555115
14,0.8708891868591309,0.29796361923217773,0.8489186763763428,0.37146833539009094
15,0.8989037871360779,0.2574005126953125,0.8924763798713684,0.3356463313102722
16,0.914738118648529,0.22237460315227509,0.8921718001365662,0.29238978028297424
17,0.9086480140686035,0.22049348056316376,0.912884533405304,0.27376991510391235
18,0.9317904710769653,0.18698972463607788,0.8930855989456177,0.35303211212158203
19,0.9196102023124695,0.1950705200433731,0.9101431369781494,0.25367340445518494
20,0.9208282828330994,0.20583495497703552,0.913189172744751,0.25141778588294983
21,0.9123020768165588,0.2005513459444046,0.897350013256073,0.2998676896095276
22,0.9403166770935059,0.17157749831676483,0.8921718001365662,0.40041372179985046
23,0.9330085515975952,0.1639387607574463,0.9028327465057373,0.32490459084510803
24,0.9305724501609802,0.17327739298343658,0.9025281667709351,0.31429120898246765
25,0.9366626143455505,0.1568347066640854,0.9046603441238403,0.35599038004875183
